country,region,agrd1960,agrd2011
Angola,SSA,11.336632,105.95621
Argentina,LAC,142.07428,502.54633
Australia,highincome,162.7312,492.51328
Austria,highincome,35.447369,114.88011
Barbados,highincome,4.0320611,1.9888142
Bangladesh,Asia&Pacific,21.627705,195.18259
Bolivia,LAC,5.0434184,6.6370702
Botswana,SSA,0.18449116,17.350664
Brazil,LAC,344.72424,1839.4761
Belize,LAC,0.40652815,2.6275847
Solomon Islands,Asia&Pacific,0.55008543,3.1974747
Myanmar,Asia&Pacific,0.37839946,6.5224018
Burundi,SSA,1.3508072,9.3277922
Cameroon,SSA,9.3876257,155.07729
Canada,highincome,216.9267,1008.3636
Cabo Verde,SSA,1.9970516,3.3035855
Central African Republic,SSA,6.7654042,3.2452915
Sri Lanka,Asia&Pacific,33.683868,66.763367
Chad,SSA,6.5136189,6.9717793
Chile,highincome,22.315975,63.772449
Colombia,LAC,111.76901,199.856
Congo,SSA,6.8103275,7.0076509
Costa Rica,LAC,11.368704,31.355742
Cuba,LAC,84.971519,202.80173
Cyprus,highincome,1.7975826,7.6226244
Benin,SSA,13.843214,31.404057
Denmark,highincome,63.753384,67.576584
Dominican Republic,LAC,2.3919852,21.452148
Ecuador,LAC,9.6352921,17.138359
Egypt,MENA,47.100182,498.61349
El Salvador,LAC,22.877945,7.8716197
Fiji,Asia&Pacific,3.71841,10.135754
Finland,highincome,38.653961,193.25804
France,highincome,120.89775,1082.9164
Gabon,SSA,4.7877488,2.2551143
Gambia,SSA,6.5331607,5.0050807
Germany,highincome,390.67664,1189.474
Ghana,SSA,18.307493,86.388809
Greece,highincome,26.682419,52.079506
Guam,highincome,0.16769227,2.2642882
Guatemala,LAC,8.7887135,14.294127
Guinea,SSA,0.82882011,6.3892803
Guyana,LAC,3.3354979,9.6543045
Haiti,LAC,5.4786429,4.4621749
Honduras,LAC,1.432446,17.828995
Iceland,highincome,3.8220613,16.235655
India,Asia&Pacific,220.46313,3771.1052
Indonesia,Asia&Pacific,126.70251,577.73279
Iran,MENA,66.91275,924.05444
Ireland,highincome,42.886456,121.98071
Israel,highincome,20.231112,135.92468
Italy,highincome,94.41568,992.90765
Ctte d'Ivoire,SSA,46.927189,75.816124
Jamaica,LAC,8.2671804,8.5982733
Japan,highincome,187.43454,3465.0422
Jordan,MENA,3.0579054,43.206177
Kenya,SSA,51.527546,256.62766
Republic of Korea,highincome,71.076721,962.18115
Lao People's DR,Asia&Pacific,6.1296725,21.556534
Lesotho,SSA,0.22253069,2.4358733
Liberia,SSA,0.024051702,4.7759008
Madagascar,SSA,30.011063,12.267246
Malawi,SSA,17.938038,41.457996
Malaysia,Asia&Pacific,34.607361,687.15741
Mali,SSA,7.3246474,49.321697
Mauritania,SSA,2.8325934,8.5042982
Mauritius,SSA,3.8588519,30.054422
Mexico,LAC,54.216106,661.28223
Morocco,MENA,54.494331,280.4455
Mozambique,SSA,1.1097147,21.589827
Namibia,SSA,6.716939,58.310841
Nepal,Asia&Pacific,4.0657229,44.281864
Netherlands,highincome,143.06166,660.78137
Vanuatu,Asia&Pacific,0.28730124,1.7298965
New Zealand,highincome,41.690453,295.0889
Nicaragua,LAC,2.1957772,45.933865
Niger,SSA,4.7022166,7.7157712
Nigeria,SSA,78.678566,483.9693
Norway,highincome,50.035477,148.40483
Pakistan,Asia&Pacific,21.971193,324.71265
Panama,LAC,2.0196693,10.748732
Papua New Guinea,Asia&Pacific,12.142638,27.113308
Paraguay,LAC,1.8963994,17.331875
Peru,LAC,20.731459,131.01738
Philippines,Asia&Pacific,40.899364,324.25711
Portugal,highincome,12.788019,147.42816
Guinea-Bissau,SSA,0.49736261,0.18208393
Puerto Rico,highincome,22.775259,11.345594
Eritrea,SSA,0.19259852,2.7794354
Qatar,highincome,0.60222632,10.450477
Zimbabwe,SSA,1.5180112,4.1703386
Rwanda,SSA,2.1156814,32.0177
Saint Kitts and Nevis,highincome,0.1905853,0.1709819
Saint Lucia,LAC,1.7767061,3.389673
Sao Tome and Principe,SSA,0.1225067,0.5410015
Senegal,SSA,22.657969,31.110268
Sierra Leone,SSA,1.8906842,8.9961529
Singapore,highincome,2.0662529,19.674835
Somalia,SSA,3.6972463,0.45560578
South Africa,SSA,237.17857,338.1478
Spain,highincome,29.648958,904.93115
Sudan (former),SSA,34.753563,58.730473
Swaziland,SSA,1.326959,6.3305359
Sweden,highincome,22.31731,155.59677
Switzerland,highincome,14.280046,133.03503
Syrian Arab Republic,MENA,1.9495423,90.953186
Tanzania,SSA,9.3346214,94.671783
Thailand,Asia&Pacific,80.027565,445.05984
Togo,SSA,12.037609,10.651837
Tonga,Asia&Pacific,0.11971017,0.86139697
Trinidad and Tobago,highincome,5.9005804,3.0638211
Tunisia,MENA,12.111362,99.820923
Turkey,Europe and Central Asia,32.272133,486.11023
United Arab Emirates,highincome,0.26085922,17.068302
Uganda,SSA,12.633537,125.07925
Tuvalu,Asia&Pacific,0.11538577,0.26504913
United Kingdom,highincome,299.23123,740.30792
United States,highincome,1250.5532,4403.2378
Burkina Faso,SSA,6.0684686,28.988504
Uruguay,highincome,6.7033405,90.000343
Venezuela,LAC,40.258266,211.34567
Vietnam,Asia&Pacific,3.8026001,130.78661
Ethiopia,SSA,4.1398416,79.65377
United States Virgin Islands,highincome,0.098076835,1.3948632
Samoa,Asia&Pacific,0.37391976,2.4437976
"Congo, Dem R",SSA,22.973543,18.07942
Zambia,SSA,11.38972,18.954071
Belgium,highincome,51.665165,276.5304
Luxembourg,highincome,0.79465991,32.216442
China,Asia&Pacific,293.72299,4723.2188
