country,agrd1960,agrd2011,incomelevel
Angola,11.336632,105.95621,upper middle income
Botswana,0.18449116,17.350664,upper middle income
Burundi,1.3508072,9.3277922,low income
Cameroon,9.3876257,155.07729,lower middle income
Cabo Verde,1.9970516,3.3035855,lower middle income
Central African Republic,6.7654042,3.2452915,low income
Chad,6.5136189,6.9717793,low income
Congo,6.8103275,7.0076509,lower middle income
Benin,13.843214,31.404057,low income
Gabon,4.7877488,2.2551143,upper middle income
Gambia,6.5331607,5.0050807,low income
Ghana,18.307493,86.388809,lower middle income
Guinea,0.82882011,6.3892803,low income
Ctte d'Ivoire,46.927189,75.816124,lower middle income
Kenya,51.527546,256.62766,low income
Lesotho,0.22253069,2.4358733,lower middle income
Liberia,0.024051702,4.7759008,low income
Madagascar,30.011063,12.267246,low income
Malawi,17.938038,41.457996,low income
Mali,7.3246474,49.321697,low income
Mauritania,2.8325934,8.5042982,lower middle income
Mauritius,3.8588519,30.054422,upper middle income
Mozambique,1.1097147,21.589827,low income
Namibia,6.716939,58.310841,upper middle income
Niger,4.7022166,7.7157712,low income
Nigeria,78.678566,483.9693,lower middle income
Guinea-Bissau,0.49736261,0.18208393,low income
Eritrea,0.19259852,2.7794354,low income
Zimbabwe,1.5180112,4.1703386,low income
Rwanda,2.1156814,32.0177,low income
Sao Tome and Principe,0.1225067,0.5410015,lower middle income
Senegal,22.657969,31.110268,lower middle income
Sierra Leone,1.8906842,8.9961529,low income
Somalia,3.6972463,0.45560578,low income
South Africa,237.17857,338.1478,upper middle income
Sudan (former),34.753563,58.730473,lower middle income
Swaziland,1.326959,6.3305359,lower middle income
Tanzania,9.3346214,94.671783,low income
Togo,12.037609,10.651837,low income
Uganda,12.633537,125.07925,low income
Burkina Faso,6.0684686,28.988504,low income
Ethiopia,4.1398416,79.65377,low income
"Congo, Dem R",22.973543,18.07942,low income
Zambia,11.38972,18.954071,lower middle income
Egypt,47.100182,498.61349,lower middle income
Iran,66.91275,924.05444,upper middle income
Jordan,3.0579054,43.206177,upper middle income
Morocco,54.494331,280.4455,lower middle income
Syrian Arab Republic,1.9495423,90.953186,lower middle income
Tunisia,12.111362,99.820923,upper middle income
Argentina,142.07428,502.54633,upper middle income
Bolivia,5.0434184,6.6370702,lower middle income
Brazil,344.72424,1839.4761,upper middle income
Belize,0.40652815,2.6275847,upper middle income
Colombia,111.76901,199.856,upper middle income
Costa Rica,11.368704,31.355742,upper middle income
Cuba,84.971519,202.80173,upper middle income
Dominican Republic,2.3919852,21.452148,upper middle income
Ecuador,9.6352921,17.138359,upper middle income
El Salvador,22.877945,7.8716197,lower middle income
Guatemala,8.7887135,14.294127,lower middle income
Guyana,3.3354979,9.6543045,lower middle income
Haiti,5.4786429,4.4621749,low income
Honduras,1.432446,17.828995,lower middle income
Jamaica,8.2671804,8.5982733,upper middle income
Mexico,54.216106,661.28223,upper middle income
Nicaragua,2.1957772,45.933865,lower middle income
Panama,2.0196693,10.748732,upper middle income
Paraguay,1.8963994,17.331875,lower middle income
Peru,20.731459,131.01738,upper middle income
Saint Lucia,1.7767061,3.389673,upper middle income
Venezuela,40.258266,211.34567,upper middle income
Australia,162.7312,492.51328,high income
Austria,35.447369,114.88011,high income
Barbados,4.0320611,1.9888142,high income
Canada,216.9267,1008.3636,high income
Chile,22.315975,63.772449,high income
Cyprus,1.7975826,7.6226244,high income
Denmark,63.753384,67.576584,high income
Finland,38.653961,193.25804,high income
France,120.89775,1082.9164,high income
Germany,390.67664,1189.474,high income
Greece,26.682419,52.079506,high income
Guam,0.16769227,2.2642882,high income
Iceland,3.8220613,16.235655,high income
Ireland,42.886456,121.98071,high income
Israel,20.231112,135.92468,high income
Italy,94.41568,992.90765,high income
Japan,187.43454,3465.0422,high income
Republic of Korea,71.076721,962.18115,high income
Netherlands,143.06166,660.78137,high income
New Zealand,41.690453,295.0889,high income
Norway,50.035477,148.40483,high income
Portugal,12.788019,147.42816,high income
Puerto Rico,22.775259,11.345594,high income
Qatar,0.60222632,10.450477,high income
Saint Kitts and Nevis,0.1905853,0.1709819,high income
Singapore,2.0662529,19.674835,high income
Spain,29.648958,904.93115,high income
Sweden,22.31731,155.59677,high income
Switzerland,14.280046,133.03503,high income
Trinidad and Tobago,5.9005804,3.0638211,high income
United Arab Emirates,0.26085922,17.068302,high income
United Kingdom,299.23123,740.30792,high income
United States,1250.5532,4403.2378,high income
Uruguay,6.7033405,90.000343,high income
United States Virgin Islands,0.098076835,1.3948632,high income
Belgium,51.665165,276.5304,high income
Luxembourg,0.79465991,32.216442,high income
Turkey,32.272133,486.11023,upper middle income
Bangladesh,21.627705,195.18259,low income
Solomon Islands,0.55008543,3.1974747,lower middle income
Myanmar,0.37839946,6.5224018,low income
Sri Lanka,33.683868,66.763367,lower middle income
Fiji,3.71841,10.135754,upper middle income
India,220.46313,3771.1052,lower middle income
Indonesia,126.70251,577.73279,lower middle income
Lao People's DR,6.1296725,21.556534,lower middle income
Malaysia,34.607361,687.15741,upper middle income
Nepal,4.0657229,44.281864,low income
Vanuatu,0.28730124,1.7298965,lower middle income
Pakistan,21.971193,324.71265,lower middle income
Papua New Guinea,12.142638,27.113308,lower middle income
Philippines,40.899364,324.25711,lower middle income
Thailand,80.027565,445.05984,upper middle income
Tonga,0.11971017,0.86139697,upper middle income
Tuvalu,0.11538577,0.26504913,upper middle income
Vietnam,3.8026001,130.78661,lower middle income
Samoa,0.37391976,2.4437976,lower middle income
China,293.72299,4723.2188,upper middle income
